period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,sample_rh,sample_temp,sample_pres,pm1,pm25,pm10
2024-02-02T00:00:00+02:00,2024-02-03T00:00:00+02:00,2024-02-01T22:00:00+00:00,2024-02-02T22:00:00+00:00,MOD-PM-00523,1421,55.148,24.088,0.0,21.602,22.416,30.414
2024-02-03T00:00:00+02:00,2024-02-04T00:00:00+02:00,2024-02-02T22:00:00+00:00,2024-02-03T22:00:00+00:00,MOD-PM-00523,1427,59.487,23.776,0.0,15.866,16.568,23.733
2024-02-04T00:00:00+02:00,2024-02-05T00:00:00+02:00,2024-02-03T22:00:00+00:00,2024-02-04T22:00:00+00:00,MOD-PM-00523,1435,65.175,23.164,0.0,30.622,31.095,35.342
2024-02-05T00:00:00+02:00,2024-02-06T00:00:00+02:00,2024-02-04T22:00:00+00:00,2024-02-05T22:00:00+00:00,MOD-PM-00523,1422,58.609,24.539,0.0,22.423,22.884,29.382
2024-02-06T00:00:00+02:00,2024-02-07T00:00:00+02:00,2024-02-05T22:00:00+00:00,2024-02-06T22:00:00+00:00,MOD-PM-00523,1071,,,,,,
2024-02-07T00:00:00+02:00,2024-02-08T00:00:00+02:00,2024-02-06T22:00:00+00:00,2024-02-07T22:00:00+00:00,MOD-PM-00523,1004,,,,,,
2024-02-08T00:00:00+02:00,2024-02-09T00:00:00+02:00,2024-02-07T22:00:00+00:00,2024-02-08T22:00:00+00:00,MOD-PM-00523,1426,38.503,28.898,0.0,22.255,23.738,41.515
2024-02-09T00:00:00+02:00,2024-02-10T00:00:00+02:00,2024-02-08T22:00:00+00:00,2024-02-09T22:00:00+00:00,MOD-PM-00523,1416,65.948,23.729,0.0,12.004,12.354,17.458
2024-02-10T00:00:00+02:00,2024-02-11T00:00:00+02:00,2024-02-09T22:00:00+00:00,2024-02-10T22:00:00+00:00,MOD-PM-00523,1411,58.09,25.787,0.0,14.065,14.511,20.098
2024-02-11T00:00:00+02:00,2024-02-12T00:00:00+02:00,2024-02-10T22:00:00+00:00,2024-02-11T22:00:00+00:00,MOD-PM-00523,1418,71.467,21.258,0.0,21.185,21.682,26.555
2024-02-12T00:00:00+02:00,2024-02-13T00:00:00+02:00,2024-02-11T22:00:00+00:00,2024-02-12T22:00:00+00:00,MOD-PM-00523,1415,67.077,23.117,0.0,19.746,20.96,30.384
2024-02-13T00:00:00+02:00,2024-02-14T00:00:00+02:00,2024-02-12T22:00:00+00:00,2024-02-13T22:00:00+00:00,MOD-PM-00523,1406,60.778,25.414,0.0,35.641,36.869,48.671
2024-02-14T00:00:00+02:00,2024-02-15T00:00:00+02:00,2024-02-13T22:00:00+00:00,2024-02-14T22:00:00+00:00,MOD-PM-00523,1416,54.066,26.523,0.0,27.358,28.188,37.635
2024-02-15T00:00:00+02:00,2024-02-16T00:00:00+02:00,2024-02-14T22:00:00+00:00,2024-02-15T22:00:00+00:00,MOD-PM-00523,1435,51.498,26.619,0.0,23.506,24.306,34.098
2024-02-16T00:00:00+02:00,2024-02-17T00:00:00+02:00,2024-02-15T22:00:00+00:00,2024-02-16T22:00:00+00:00,MOD-PM-00523,1429,49.148,26.723,0.0,13.901,14.482,22.255
